species,year,strata,rpn,rpn_var,rpw,rpw_var
Sablefish,1996,Aleutians,57517,8270513.223,163925,67178514.06
Sablefish,1998,Aleutians,98842.2276127975,98790853.0451977,301003.874949765,903277122.857582
Sablefish,2000,Aleutians,93372.7136716844,167558297.390306,262504.225818636,1350870128.12729
Sablefish,2002,Aleutians,83247.2087163559,131060526.641681,277978.79036005,1384292273.57013
Sablefish,2004,Aleutians,77299.6866869901,77375450.9394645,199236.669313694,514314094.651483
Sablefish,2006,Aleutians,92410.5420679681,332135622.69973,258467.786620857,2517667204.94089
Sablefish,2008,Aleutians,66213.3181921436,62591623.2670068,208587.448956239,647760192.086345
Sablefish,2010,Aleutians,50980.6948476643,40213876.7683236,166788.090131048,436287875.456684
Sablefish,2012,Aleutians,84252.3286899777,181951375.249228,198442.551601721,1003027643.73662
Sablefish,2014,Aleutians,65621.0487517181,72956623.7305342,189147.25484057,602960344.642824
Sablefish,2016,Aleutians,122091.495544306,162379064.070987,298502.982494647,855644304.031365
Sablefish,2018,Aleutians,177539.83381488,349948685.717494,339429.704433564,1234900617.50112
Sablefish,2020,Aleutians,367261.834879776,875721693.51189,674784.578511886,2996816857.84643
Sablefish,2022,Aleutians,407632.617179076,756223550.22889,863338.438847994,3397767845.59522
Sablefish,1995,Bering Sea,54024.17,7296527.36,169458.08,71790102.19
Sablefish,1997,Bering Sea,42959.5606141973,23585964.5995389,156848.110248464,314130156.08718
Sablefish,1999,Bering Sea,47269.930908875,36655941.2345966,124917.447687367,259724621.524729
Sablefish,2001,Bering Sea,85031.3882796634,61748596.7536701,254746.408589389,525937437.169623
Sablefish,2003,Bering Sea,69787.2748038474,177729421.631443,219090.895035481,1606067303.24031
Sablefish,2005,Bering Sea,102685.813466861,192468930.284823,259578.611373621,1179666689.43684
Sablefish,2007,Bering Sea,98150.8894950948,180314902.758883,286012.218025032,1495956456.90643
Sablefish,2009,Bering Sea,21387.2377464314,7837728.74643703,71272.5556806812,82764709.848372
